bhai	भाई	8000
kal	कल	9000
mera	मेरा	7000
meri	मेरी	6500
me	में	9500
mein	में	9000
hai	है	12000
h	है	3000
nahi	नहीं	8000
aaj	आज	8500
tumhara	तुम्हारा	4000
par	पर	7000
pe	पर	6000
kya	क्या	9000
kyun	क्यों	7500
kaise	कैसे	7000
kahan	कहाँ	6500
kaun	कौन	7000
kab	कब	6500
ye	ये	9000
yeh	यह	8500
wo	वो	9000
woh	वह	8000
hum	हम	8000
tum	तुम	8000
aap	आप	8500
main	मैं	9500
mai	मैं	8000
unhe	उन्हें	5000
usse	उससे	4500
isse	इससे	4500
inhe	इन्हें	4000
apna	अपना	6000
apni	अपनी	5500
apne	अपने	5500
tumhare	तुम्हारे	4000
hamara	हमारा	4500
hamari	हमारी	4000
hamare	हमारे	4000
uska	उसका	5000
uski	उसकी	5000
uske	उसके	5000
inka	इनका	4000
inki	इनकी	4000
unka	उनका	4500
unki	उनकी	4500
ka	का	9500
ki	की	9000
ke	के	9000
ko	को	9000
se	से	9000
ne	ने	8500
tak	तक	7000
liye	लिए	7000
wala	वाला	5000
wali	वाली	5000
wale	वाले	5000
bina	बिना	5500
saath	साथ	6000
baad	बाद	6500
pehle	पहले	6000
ander	अंदर	4500
andar	अंदर	4500
bahar	बाहर	4500
upar	ऊपर	4500
niche	नीचे	4500
aage	आगे	5000
peeche	पीछे	4500
aur	और	9500
lekin	लेकिन	8000
ya	या	8000
bhi	भी	8500
sab	सब	8000
kuch	कुछ	8000
bahut	बहुत	8500
thoda	थोड़ा	7000
zyada	ज़्यादा	7000
jyada	ज़्यादा	6500
ab	अब	8500
abhi	अभी	8000
phir	फिर	7500
toh	तो	8000
to	तो	7500
kyunki	क्योंकि	6500
isliye	इसलिए	6000
matlab	मतलब	6000
bas	बस	7000
hi	ही	8000
na	ना	7500
haan	हाँ	7000
han	हाँ	6000
nhi	नहीं	5000
bilkul	बिल्कुल	5500
zaroor	ज़रूर	5000
sirf	सिर्फ	6000
shayad	शायद	5000
jab	जब	7000
jaise	जैसे	6500
warna	वरना	4500
waise	वैसे	5000
aise	ऐसे	5500
kar	कर	8000
karna	करना	8000
karo	करो	7000
kiya	किया	7500
karte	करते	6500
karti	करती	6000
raha	रहा	7000
rahi	रही	6500
rahe	रहे	6500
gaya	गया	7000
gayi	गई	6500
gaye	गए	6000
hua	हुआ	7000
hui	हुई	6500
hue	हुए	6000
hoga	होगा	6500
hogi	होगी	6000
hoge	होंगे	5500
aana	आना	6000
aao	आओ	5500
aaya	आया	6000
aayi	आई	5500
jaana	जाना	6000
jao	जाओ	5000
dena	देना	6000
dedo	दे दो	4500
lena	लेना	6000
bolo	बोलो	5500
batao	बताओ	5500
dekho	देखो	5500
suno	सुनो	5500
chalo	चलो	6000
ruko	रुको	5000
socho	सोचो	5000
samjho	समझो	5000
padho	पढ़ो	5000
likho	लिखो	4500
khao	खाओ	5000
piyo	पियो	4500
sona	सोना	5500
uthna	उठना	5000
baithna	बैठना	4500
chahiye	चाहिए	7000
chahta	चाहता	5500
chahti	चाहती	5000
sakta	सकता	6000
sakti	सकती	5500
sakte	सकते	5500
milna	मिलना	5500
mila	मिला	6000
mili	मिली	5500
ghar	घर	8000
kaam	काम	8000
paisa	पैसा	7500
paise	पैसे	7000
din	दिन	8000
raat	रात	7500
subah	सुबह	7000
sham	शाम	6500
dost	दोस्त	7500
naam	नाम	7000
baat	बात	8000
samay	समय	6000
waqt	वक्त	6500
log	लोग	7000
cheez	चीज़	6000
jagah	जगह	6000
taraf	तरफ	5500
khaana	खाना	7000
paani	पानी	7000
gaadi	गाड़ी	6500
rasta	रास्ता	5500
shahar	शहर	6000
desh	देश	6000
school	स्कूल	6000
ladka	लड़का	5500
ladki	लड़की	5500
maa	माँ	7500
papa	पापा	7000
behan	बहन	6500
dada	दादा	5000
dadi	दादी	5000
chacha	चाचा	4500
chachi	चाची	4000
yaar	यार	7000
saab	साहब	5000
ji	जी	7500
accha	अच्छा	8000
acchi	अच्छी	7500
acche	अच्छे	7500
theek	ठीक	8000
bada	बड़ा	6500
badi	बड़ी	6000
bade	बड़े	6000
chota	छोटा	6000
choti	छोटी	5500
purana	पुराना	5000
naya	नया	6000
nayi	नई	5500
sahi	सही	7000
galat	गलत	6500
mushkil	मुश्किल	5500
aasan	आसान	5500
khush	खुश	6000
pareshan	परेशान	5500
thaka	थका	4500
bura	बुरा	5500
buri	बुरी	5000
sundar	सुंदर	5500
bekar	बेकार	5000
kamaal	कमाल	5000
parso	परसों	5000
roz	रोज़	6000
kabhi	कभी	6500
humesha	हमेशा	5500
aksar	अक्सर	5000
saal	साल	7000
mahina	महीना	6000
hafte	हफ्ते	5500
ghante	घंटे	5500
minute	मिनट	5500
kitna	कितना	6500
kitni	कितनी	6000
kitne	कितने	6000
kyaa	क्या	7000
kyon	क्यों	7000
ok	ओके	8000
okay	ओके	7000
haha	हाहा	4000
arre	अरे	6500
aho	अहो	3500
wah	वाह	6000
shukriya	शुक्रिया	5000
dhanyawad	धन्यवाद	4500
namaste	नमस्ते	6000
alvida	अलविदा	4000
aapka	आपका	6000
mujhe	मुझे	8000
tujhe	तुझे	6000
use	उसे	7000
hume	हमें	6000
humein	हमें	6000
unhein	उन्हें	5000
mere	मेरे	7500
tera	तेरा	6000
teri	तेरी	5500
tere	तेरे	5500
tumhari	तुम्हारी	4500
iska	इसका	5000
iski	इसकी	4500
khud	ख़ुद	5500
karta	करता	7000
karni	करनी	5500
karne	करने	6500
karega	करेगा	6500
karegi	करेगी	6000
karenge	करेंगे	6000
karunga	करूँगा	5000
karungi	करूँगी	4500
karke	करके	6500
kiye	किये	6000
khana	खाना	7000
khaya	खाया	6000
kharab	ख़राब	6000
lene	लेने	6000
liya	लिया	6500
leta	लेता	5500
milkar	मिलकर	4500
mile	मिले	5500
milega	मिलेगा	5000
bhejo	भेजो	4500
bhejna	भेजना	4500
bheja	भेजा	4500
bola	बोला	6000
boli	बोली	5500
bole	बोले	5500
bolna	बोलना	5500
dekhe	देखे	5500
dekha	देखा	6000
dekhna	देखना	5500
dekhne	देखने	5500
jaunga	जाऊँगा	4500
jaungi	जाऊँगी	4000
jayega	जाएगा	6000
jayegi	जाएगी	5500
jayenge	जाएँगे	5500
jana	जाना	6500
aaye	आये	5500
aata	आता	6000
aati	आती	5500
aate	आते	5500
diya	दिया	7000
diye	दिये	6000
do	दो	6500
deta	देता	5500
dete	देते	5500
hona	होना	6500
hota	होता	6500
hoti	होती	6000
hote	होते	6000
honge	होंगे	5500
rahega	रहेगा	5500
suna	सुना	5500
sunna	सुनना	5000
ho	हो	8000
ja	जा	6000
jaa	जा	5500
kaha	कहा	6500
baje	बजे	5000
tabiyat	तबियत	4500
lagta	लगता	6000
lagti	लगती	5500
lagi	लगी	5500
laga	लगा	6000
mat	मत	7000
sath	साथ	6500
paas	पास	6000
door	दूर	5500
jaldi	जल्दी	6500
der	देर	5500
waapas	वापस	5500
fir	फिर	6000
taki	ताकि	5000
tab	तब	6500
agar	अगर	6500
haath	हाथ	6000
sar	सर	6000
aankh	आँख	5500
kaan	कान	5000
naak	नाक	5000
muh	मुँह	5500
pet	पेट	5500
pair	पैर	5500
dil	दिल	7000
mann	मन	6500
dimag	दिमाग	6000
sehat	सेहत	5000
bukhar	बुखार	5000
dard	दर्द	6000
chai	चाय	7500
dukaan	दुकान	6000
sadak	सड़क	6000
gaon	गाँव	6500
sheher	शहर	6000
kitaab	किताब	6500
kapde	कपड़े	6500
kamra	कमरा	5500
darwaza	दरवाज़ा	5000
khidki	खिड़की	4500
chhat	छत	4500
table	टेबल	5000
kursi	कुर्सी	5000
bistar	बिस्तर	5000
bartan	बर्तन	4500
bijli	बिजली	5500
pankha	पंखा	5000
cooler	कूलर	4500
zindagi	ज़िंदगी	7000
duniya	दुनिया	7000
samajh	समझ	5500
ummeed	उम्मीद	5500
koshish	कोशिश	6000
madad	मदद	6500
zaroorat	ज़रूरत	5500
sach	सच	6500
jhooth	झूठ	5500
pyaar	प्यार	7000
gussa	ग़ुस्सा	6000
khushi	ख़ुशी	6500
umar	उमर	5000
shaadi	शादी	6500
parivaar	परिवार	6000
rishta	रिश्ता	5500
sapna	सपना	5500
izzat	इज़्ज़त	5000
qismat	किस्मत	5000
saaf	साफ़	6000
ganda	गंदा	5500
sasta	सस्ता	5500
mehnga	महँगा	5500
garam	गरम	5500
thanda	ठंडा	5500
meetha	मीठा	5000
namkeen	नमकीन	4500
kadwa	कड़वा	4500
khatta	खट्टा	4500
taza	ताज़ा	5000
gora	गोरा	4500
kala	काला	5000
lal	लाल	5500
safed	सफ़ेद	5000
hara	हरा	5000
neela	नीला	5000
peela	पीला	4500
behtar	बेहतर	5500
kamzor	कमज़ोर	5000
mazboot	मज़बूत	5000
shaant	शांत	4500
sunder	सुंदर	5000
banana	बनाना	6000
bana	बना	6000
banaya	बनाया	5500
banaye	बनाए	5000
banao	बनाओ	5000
samajhna	समझना	5500
samjha	समझा	5500
samjhe	समझे	5000
padhna	पढ़ना	5500
padha	पढ़ा	5500
padhe	पढ़े	5000
likhna	लिखना	5000
likha	लिखा	5000
likhe	लिखे	4500
sochna	सोचना	5500
socha	सोचा	5500
soche	सोचे	4500
puchhna	पूछना	5000
puchha	पूछा	4500
puchho	पूछो	5000
batana	बताना	5500
bataya	बताया	5500
rakhna	रखना	5000
rakha	रखा	5000
rakho	रखो	5000
utha	उठा	5000
utho	उठो	5000
baitha	बैठा	4500
baitho	बैठो	4500
chalna	चलना	5500
chala	चला	5500
chalein	चलें	5000
ruka	रुका	4500
dhundna	ढूंढना	4500
dhunda	ढूंढा	4000
khojna	खोजना	4000
kaunsa	कौनसा	5000
kahin	कहीं	5500
jahan	जहाँ	5500
wahan	वहाँ	5500
yahan	यहाँ	5500
idhar	इधर	4500
udhar	उधर	4500
kyu	क्यू	4000
nana	नाना	5000
nani	नानी	5000
mausa	मौसा	4000
mausi	मौसी	4000
fufa	फूफा	3500
bua	बुआ	4000
sasur	ससुर	4000
saas	सास	4500
devra	देवर	3500
bhabhi	भाभी	5000
agle	अगले	6000
pichle	पिछले	5500
jald	जल्द	5000
abtak	अबतक	4500
gusse	ग़ुस्से	4500
aankhein	आँखें	5000
